class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
canger	0.647836	0.875821	0.786287						
cotton	0.482147	0.555024	0.650607						
longkui	0.717526	0.757700	0.835534						
machixian	0.399392	0.506658	0.570808						
niujincao	0.385923	0.406932	0.556919						
tianxuanhua	0.627640	0.780525	0.771227						
background	0.988545	0.995843	0.994239	0.972902	0.627809	0.723594	0.734127	768	4
abuth	0.879269	0.949419	0.935757						
canger	0.692605	0.918219	0.818390						
cotton	0.499310	0.741905	0.666053						
longkui	0.799421	0.872617	0.888531						
machixian	0.247605	0.268403	0.396928						
niujincao	0.207863	0.212470	0.344183						
tianxuanhua	0.707851	0.829874	0.828938						
background	0.988141	0.995110	0.994035	0.971930	0.624816	0.732924	0.734993	800	4
abuth	0.901104	0.951022	0.947980						
canger	0.702569	0.898610	0.825305						
cotton	0.305061	0.378778	0.467505						
longkui	0.772160	0.935956	0.871434						
machixian	0.408218	0.662887	0.579765						
niujincao	0.234014	0.243582	0.379273						
tianxuanhua	0.687263	0.797450	0.814649						
background	0.988133	0.993887	0.994031	0.972612	0.633567	0.742335	0.748555	832	4
abuth	0.849295	0.973680	0.918507						
canger	0.669509	0.775321	0.802043						
cotton	0.562820	0.846270	0.720262						
longkui	0.777194	0.867903	0.874630						
machixian	0.325717	0.346091	0.491382						
niujincao	0.255146	0.260991	0.406560						
tianxuanhua	0.640723	0.874536	0.781025						
background	0.988256	0.996124	0.994093	0.975851	0.665240	0.745973	0.779269	864	4
abuth	0.879739	0.957497	0.936023						
canger	0.735105	0.875585	0.847332						
cotton	0.587698	0.822773	0.740315						
longkui	0.777850	0.844462	0.875046						
machixian	0.365032	0.377563	0.534833						
niujincao	0.377804	0.427098	0.548415						
tianxuanhua	0.610432	0.666680	0.758097						
background	0.985499	0.992919	0.992697	0.971822	0.657156	0.743463	0.776842	896	5
abuth	0.840467	0.987689	0.913320						
canger	0.673800	0.796570	0.805114						
cotton	0.463657	0.516476	0.633560						
longkui	0.786607	0.890629	0.880559						
machixian	0.388456	0.472890	0.559551						
niujincao	0.491019	0.610915	0.658636						
tianxuanhua	0.627739	0.679620	0.771302						
background	0.988954	0.994092	0.994446	0.977371	0.701942	0.807795	0.810888	928	5
abuth	0.913402	0.942195	0.954742						
canger	0.683511	0.966986	0.812007						
cotton	0.446732	0.494268	0.617574						
longkui	0.783913	0.913467	0.878869						
machixian	0.659140	0.887966	0.794556						
niujincao	0.441290	0.493223	0.612354						
tianxuanhua	0.698598	0.770162	0.822559						
background	0.987746	0.996012	0.993835	0.974856	0.670799	0.764010	0.782416	960	5
abuth	0.886920	0.944085	0.940072						
canger	0.679856	0.897008	0.809422						
cotton	0.507113	0.617350	0.672959						
longkui	0.800465	0.925305	0.889176						
machixian	0.436331	0.523738	0.607564						
niujincao	0.331785	0.348066	0.498257						
tianxuanhua	0.736172	0.860518	0.848040						
background	0.988463	0.997036	0.994198	0.978997	0.698908	0.790015	0.801619	992	5
abuth	0.934778	0.950792	0.966290						
canger	0.744740	0.893027	0.853697						
