Device: cuda
Dataset: cottonweed, Train set: 513, Val set: 146
Epoch 33, Itrs 2080/10000, Loss=0.070828
Epoch 33, Itrs 2090/10000, Loss=0.246369
Epoch 33, Itrs 2100/10000, Loss=0.211354
Epoch 33, Itrs 2110/10000, Loss=0.105573
Epoch 34, Itrs 2120/10000, Loss=0.111198
Epoch 34, Itrs 2130/10000, Loss=0.120952
Epoch 34, Itrs 2140/10000, Loss=0.143592
Epoch 34, Itrs 2150/10000, Loss=0.159286
Epoch 34, Itrs 2160/10000, Loss=0.105641
Epoch 34, Itrs 2170/10000, Loss=0.125951
Epoch 35, Itrs 2180/10000, Loss=0.147580
Epoch 35, Itrs 2190/10000, Loss=0.111145
Epoch 35, Itrs 2200/10000, Loss=0.115836
Epoch 35, Itrs 2210/10000, Loss=0.085829
Epoch 35, Itrs 2220/10000, Loss=0.066552
Epoch 35, Itrs 2230/10000, Loss=0.100073
Epoch 35, Itrs 2240/10000, Loss=0.151185
Epoch 36, Itrs 2250/10000, Loss=0.054361
Epoch 36, Itrs 2260/10000, Loss=0.089083
Epoch 36, Itrs 2270/10000, Loss=0.114195
Epoch 36, Itrs 2280/10000, Loss=0.067247
Epoch 36, Itrs 2290/10000, Loss=0.076646
Epoch 36, Itrs 2300/10000, Loss=0.074644
Epoch 37, Itrs 2310/10000, Loss=0.110565
Epoch 37, Itrs 2320/10000, Loss=0.084747
Epoch 37, Itrs 2330/10000, Loss=0.125499
Epoch 37, Itrs 2340/10000, Loss=0.169908
Epoch 37, Itrs 2350/10000, Loss=0.084026
Epoch 37, Itrs 2360/10000, Loss=0.094595
Epoch 38, Itrs 2370/10000, Loss=0.278659
Epoch 38, Itrs 2380/10000, Loss=0.062490
Epoch 38, Itrs 2390/10000, Loss=0.092218
Epoch 38, Itrs 2400/10000, Loss=0.074890
Epoch 38, Itrs 2410/10000, Loss=0.075791
Epoch 38, Itrs 2420/10000, Loss=0.109447
Epoch 38, Itrs 2430/10000, Loss=0.205233
Epoch 39, Itrs 2440/10000, Loss=0.103975
Epoch 39, Itrs 2450/10000, Loss=0.111444
Epoch 39, Itrs 2460/10000, Loss=0.201116
Epoch 39, Itrs 2470/10000, Loss=0.103573
Epoch 39, Itrs 2480/10000, Loss=0.105592
Epoch 39, Itrs 2490/10000, Loss=0.068099
Epoch 40, Itrs 2500/10000, Loss=0.128562
Epoch 40, Itrs 2510/10000, Loss=0.096236
Epoch 40, Itrs 2520/10000, Loss=0.068785
Epoch 40, Itrs 2530/10000, Loss=0.153216
Epoch 40, Itrs 2540/10000, Loss=0.104321
Epoch 40, Itrs 2550/10000, Loss=0.151194
Epoch 40, Itrs 2560/10000, Loss=0.092795
Epoch 41, Itrs 2570/10000, Loss=0.147062
Epoch 41, Itrs 2580/10000, Loss=0.129017
Epoch 41, Itrs 2590/10000, Loss=0.075612
Epoch 41, Itrs 2600/10000, Loss=0.115391
