class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
abuth	0.834165	0.945237	0.909585						
canger	0.688304	0.842628	0.815379						
machixian	0.827860	0.876421	0.905824						
longkui	0.788903	0.797613	0.881996						
tianxuanhua	0.433157	0.445666	0.604479						
niujincao	0.712343	0.782603	0.832010						
background	0.991544	0.996448	0.995754	0.986904	0.798231	0.857689	0.877068	9200	39
cotton	0.950546	0.985514	0.974646						
abuth	0.862544	0.947770	0.926200						
canger	0.738590	0.891072	0.849642						
machixian	0.844755	0.911625	0.915845						
longkui	0.847310	0.876172	0.917345						
tianxuanhua	0.423930	0.435239	0.595436						
niujincao	0.726628	0.817672	0.841673						
background	0.991207	0.997086	0.995584	0.986886	0.807116	0.861099	0.886928	9400	40
cotton	0.951886	0.977928	0.975350						
abuth	0.832273	0.945913	0.908459						
canger	0.725423	0.827321	0.840864						
machixian	0.822803	0.876077	0.902788						
longkui	0.872537	0.904715	0.931931						
tianxuanhua	0.548787	0.567278	0.708667						
niujincao	0.712010	0.792475	0.831782						
background	0.991424	0.996796	0.995694	0.985330	0.785162	0.841015	0.872238	9600	41
cotton	0.922944	0.984813	0.959928						
abuth	0.881751	0.955475	0.937160						
canger	0.754526	0.913951	0.860091						
machixian	0.826874	0.880599	0.905234						
longkui	0.610024	0.613828	0.757783						
tianxuanhua	0.546023	0.562948	0.706358						
niujincao	0.747730	0.819711	0.855659						
background	0.991512	0.996586	0.995738	0.988826	0.830584	0.877728	0.899524	9800	42
cotton	0.960173	0.985140	0.979682						
abuth	0.898914	0.961214	0.946766						
canger	0.800698	0.940082	0.889320						
machixian	0.833761	0.902436	0.909346						
longkui	0.907940	0.919137	0.951749						
tianxuanhua	0.494584	0.510293	0.661835						
niujincao	0.757092	0.806939	0.861756						
background	0.991362	0.996863	0.995662	0.985683	0.794121	0.847662	0.879083	10000	43
cotton	0.934053	0.980658	0.965902						
abuth	0.837424	0.967522	0.911520						
canger	0.730937	0.840925	0.844557						
machixian	0.833134	0.889637	0.908972						
longkui	0.723232	0.729229	0.839390						
tianxuanhua	0.539505	0.561656	0.700881						
niujincao	0.763324	0.814804	0.865778						
background	0.991578	0.996722	0.995771	0.986357	0.794293	0.849877	0.874927	10200	43
cotton	0.950701	0.983520	0.974727						
abuth	0.828165	0.970750	0.906007						
canger	0.699062	0.815102	0.822880						
machixian	0.838723	0.897356	0.912289						
longkui	0.865828	0.877619	0.928090						
tianxuanhua	0.432861	0.444781	0.604191						
niujincao	0.747427	0.813167	0.855460						
background	0.991659	0.996769	0.995812	0.986879	0.807548	0.861865	0.885479	10400	44
cotton	0.963195	0.982208	0.981253						
abuth	0.789810	0.973129	0.882563						
canger	0.684216	0.754009	0.812504						
machixian	0.833204	0.898624	0.909014						
longkui	0.930041	0.947964	0.963753						
tianxuanhua	0.514068	0.530901	0.679055						
niujincao	0.754195	0.811318	0.859876						
background	0.991454	0.997031	0.995709	0.987503	0.810129	0.861333	0.884158	10600	45
cotton	0.958037	0.977420	0.978569						
abuth	0.872110	0.966098	0.931687						
canger	0.730042	0.887565	0.843958						
machixian	0.840683	0.902346	0.913447						
longkui	0.897280	0.908357	0.945859						
tianxuanhua	0.424348	0.436641	0.595849						
niujincao	0.767079	0.815204	0.868188						
background	0.991611	0.996779	0.995788	0.988545	0.830233	0.879925	0.900620	10800	46
cotton	0.963871	0.980925	0.981603						
abuth	0.864454	0.969325	0.927300						
canger	0.756128	0.868782	0.861131						
machixian	0.842932	0.907058	0.914773						
longkui	0.929377	0.940335	0.963396						
tianxuanhua	0.541322	0.562011	0.702413						
niujincao	0.752171	0.814181	0.858559						
