class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
cotton	0.918416	0.956715	0.957473						
abuth	0.798716	0.896704	0.888096						
others	0.806652	0.853016	0.892980						
background	0.989468	0.996901	0.994706	0.985163	0.868246	0.917797	0.927152	1824	9
cotton	0.913545	0.965181	0.954819						
abuth	0.786668	0.885235	0.880598						
others	0.783303	0.823872	0.878486						
background	0.989719	0.996588	0.994833	0.985669	0.872896	0.922064	0.929984	1856	9
cotton	0.916934	0.967178	0.956667						
abuth	0.791408	0.885868	0.883560						
others	0.793522	0.838620	0.884876						
background	0.989631	0.996825	0.994788	0.985312	0.869446	0.919988	0.927888	1888	9
cotton	0.914115	0.964120	0.955131						
abuth	0.788475	0.891515	0.881729						
others	0.785563	0.827493	0.879905						
background	0.989414	0.997017	0.994679	0.985835	0.875983	0.919257	0.931912	1920	9
cotton	0.916664	0.963747	0.956520						
abuth	0.796056	0.870572	0.886449						
others	0.801799	0.845691	0.889998						
background	0.989587	0.996888	0.994766	0.985851	0.875467	0.921809	0.931546	1952	9
cotton	0.918942	0.965758	0.957759						
abuth	0.796464	0.885702	0.886702						
others	0.796874	0.838887	0.886956						
background	0.989620	0.996726	0.994783	0.986233	0.879582	0.923244	0.934036	1984	10
cotton	0.921516	0.968212	0.959155						
abuth	0.801159	0.876443	0.889604						
others	0.806035	0.851595	0.892602						
background	0.989609	0.996764	0.994777	0.986648	0.884240	0.925535	0.936818	2016	10
cotton	0.925330	0.967145	0.961217						
abuth	0.806908	0.876256	0.893137						
others	0.815112	0.861976	0.898139						
background	0.989766	0.996695	0.994857	0.986742	0.884552	0.926410	0.936985	2048	10
cotton	0.926458	0.969786	0.961825						
abuth	0.807584	0.878423	0.893551						
others	0.814398	0.860733	0.897706						
background	0.989528	0.996909	0.994737	0.986587	0.883910	0.924804	0.936616	2080	10
cotton	0.925587	0.966193	0.961356						
abuth	0.807480	0.877791	0.893487						
others	0.813046	0.858322	0.896884						
background	0.989768	0.996738	0.994858	0.986448	0.881230	0.925140	0.934979	2112	10
cotton	0.925110	0.971644	0.961098						
abuth	0.804603	0.884439	0.891723						
others	0.805437	0.847738	0.892235						
background	0.989892	0.996480	0.994921	0.986552	0.882088	0.925996	0.935518	2144	10
cotton	0.924200	0.973833	0.960607						
abuth	0.805413	0.879069	0.892221						
others	0.808848	0.854602	0.894324						
background	0.989601	0.996898	0.994773	0.986389	0.881246	0.925246	0.934999	2176	10
cotton	0.924776	0.965402	0.960918						
abuth	0.803337	0.888385	0.890945						
others	0.807271	0.850300	0.893359						
background	0.989751	0.996773	0.994849	0.986514	0.882069	0.924942	0.935502	2208	11
cotton	0.924653	0.970057	0.960852						
abuth	0.805074	0.880170	0.892012						
others	0.808798	0.852766	0.894294						
background	0.989783	0.996761	0.994865	0.986515	0.882062	0.927215	0.935472	2240	11
cotton	0.926001	0.967333	0.961579						
abuth	0.805414	0.894243	0.892221						
others	0.807051	0.850524	0.893224						
background	0.989874	0.996652	0.994911	0.986973	0.887008	0.929857	0.938434	2272	11
cotton	0.928948	0.967421	0.963166						
abuth	0.812009	0.890612	0.896253						
others	0.817199	0.864744	0.899405						
background	0.989578	0.996905	0.994762	0.986666	0.884178	0.926672	0.936731	2304	11
cotton	0.928140	0.965169	0.962731						
abuth	0.805754	0.887252	0.892430						
others	0.813241	0.857361	0.897003						
background	0.989821	0.996668	0.994885	0.986549	0.882195	0.926905	0.935547	2336	11
cotton	0.926312	0.970425	0.961747						
abuth	0.805498	0.889700	0.892272						
others	0.807149	0.850829	0.893285						
background	0.989906	0.996547	0.994928	0.986832	0.885444	0.928927	0.937522	2368	11
cotton	0.926672	0.968584	0.961941						
abuth	0.810292	0.886973	0.895206						
others	0.814906	0.863603	0.898015						
background	0.989878	0.996681	0.994913	0.986402	0.880872	0.926606	0.934785	2400	12
cotton	0.923515	0.969576	0.960237						
abuth	0.806546	0.893494	0.892915						
others	0.803549	0.846674	0.891076						
background	0.989934	0.996615	0.994941	0.986717	0.883887	0.928409	0.936574	2432	12
cotton	0.926575	0.969424	0.961888						
abuth	0.808392	0.891046	0.894045						
others	0.810646	0.856552	0.895422						
