class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
cotton	0.917147	0.968467	0.956783						
abuth	0.786195	0.890301	0.880302						
others	0.787621	0.827844	0.881195						
background	0.989703	0.996595	0.994825	0.985901	0.875294	0.922387	0.931449	1984	10
cotton	0.918131	0.968873	0.957318						
abuth	0.793215	0.880058	0.884685						
others	0.800126	0.844024	0.888967						
background	0.989648	0.996639	0.994797	0.986536	0.882551	0.925259	0.935813	2016	10
cotton	0.923550	0.967718	0.960256						
abuth	0.802119	0.875046	0.890195						
others	0.814887	0.861634	0.898003						
background	0.989857	0.996473	0.994902	0.986497	0.881097	0.925572	0.934924	2048	10
cotton	0.923238	0.971955	0.960087						
abuth	0.799857	0.876505	0.888800						
others	0.811438	0.857355	0.895905						
background	0.989641	0.996670	0.994793	0.986166	0.878244	0.922174	0.933235	2080	10
cotton	0.919986	0.969411	0.958326						
abuth	0.795852	0.870360	0.886322						
others	0.807497	0.852256	0.893498						
background	0.989820	0.996512	0.994884	0.986021	0.875979	0.923444	0.931824	2112	10
cotton	0.920593	0.973703	0.958655						
abuth	0.794882	0.883643	0.885721						
others	0.798619	0.839916	0.888036						
background	0.989926	0.996199	0.994937	0.985961	0.875146	0.922670	0.931381	2144	10
cotton	0.916463	0.976276	0.956411						
abuth	0.792701	0.871610	0.884365						
others	0.801492	0.846594	0.889809						
background	0.989676	0.996681	0.994811	0.986139	0.877707	0.923716	0.932867	2176	10
cotton	0.922069	0.969150	0.959455						
abuth	0.795637	0.883034	0.886189						
others	0.803447	0.845998	0.891013						
background	0.989824	0.996555	0.994886	0.986219	0.878170	0.923536	0.933173	2208	11
cotton	0.920762	0.972430	0.958747						
abuth	0.796959	0.876508	0.887009						
others	0.805135	0.848652	0.892050						
background	0.989824	0.996561	0.994886	0.986243	0.878586	0.926356	0.933373	2240	11
cotton	0.923846	0.970314	0.960416						
abuth	0.799007	0.894756	0.888276						
others	0.801666	0.843793	0.889916						
background	0.989948	0.996420	0.994949	0.986756	0.883836	0.929369	0.936524	2272	11
cotton	0.927472	0.971306	0.962371						
abuth	0.805261	0.891130	0.892127						
others	0.812663	0.858620	0.896651						
background	0.989622	0.996740	0.994784	0.986551	0.882253	0.926871	0.935541	2304	11
cotton	0.928621	0.968210	0.962990						
abuth	0.800970	0.890180	0.889487						
others	0.809797	0.852355	0.894904						
background	0.989850	0.996449	0.994899	0.986301	0.879131	0.926381	0.933708	2336	11
cotton	0.923903	0.972582	0.960446						
abuth	0.799608	0.890358	0.888647						
others	0.803166	0.846134	0.890840						
