class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
longkui	0.918310	0.974900	0.957416						
tianxuanhua	0.527706	0.551029	0.690847						
niujincao	0.699369	0.845066	0.823092						
background	0.991535	0.996655	0.995750	0.989336	0.839909	0.890508	0.905030	10000	43
cotton	0.963531	0.978727	0.981427						
abuth	0.897087	0.949941	0.945752						
canger	0.815639	0.957134	0.898459						
machixian	0.844468	0.917319	0.915677						
longkui	0.947075	0.969336	0.972818						
tianxuanhua	0.500393	0.519171	0.667016						
niujincao	0.759541	0.835783	0.863340						
background	0.991458	0.996570	0.995711	0.988596	0.828446	0.879937	0.897084	10200	43
cotton	0.960602	0.982482	0.979905						
abuth	0.873560	0.954361	0.932514						
canger	0.787103	0.910394	0.880870						
machixian	0.845474	0.902867	0.916267						
longkui	0.944651	0.970611	0.971538						
tianxuanhua	0.470712	0.486037	0.640115						
niujincao	0.754008	0.836175	0.859754						
