class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
background	0.988713	0.996567	0.994324	0.988922	0.934702	0.960753	0.965711	2016	9
abuth	0.934745	0.951304	0.966272						
cotton	0.880649	0.934389	0.936537						
background	0.989016	0.996379	0.994477	0.989153	0.935686	0.962754	0.966246	2048	9
abuth	0.936172	0.953284	0.967034						
cotton	0.881871	0.938599	0.937228						
background	0.988977	0.996425	0.994458	0.989073	0.934374	0.960992	0.965501	2080	9
abuth	0.936489	0.954292	0.967203						
cotton	0.877657	0.932257	0.934843						
background	0.989053	0.996264	0.994497	0.989122	0.934898	0.961999	0.965799	2112	9
abuth	0.936268	0.955112	0.967085						
cotton	0.879372	0.934620	0.935815						
background	0.989018	0.996219	0.994478	0.989110	0.934795	0.961899	0.965739	2144	9
abuth	0.936476	0.955549	0.967196						
cotton	0.878891	0.933929	0.935542						
background	0.989034	0.996036	0.994487	0.988952	0.932171	0.958908	0.964247	2176	9
abuth	0.936374	0.959626	0.967142						
cotton	0.871105	0.921062	0.931113						
background	0.989217	0.996046	0.994579	0.989329	0.936670	0.964511	0.966786	2208	9
abuth	0.937236	0.956372	0.967602						
cotton	0.883556	0.941114	0.938179						
background	0.989203	0.996174	0.994572	0.989328	0.936955	0.964591	0.966951	2240	9
abuth	0.936849	0.954956	0.967395						
cotton	0.884812	0.942643	0.938886						
background	0.989156	0.995975	0.994548	0.989284	0.936238	0.963683	0.966543	2272	10
abuth	0.937358	0.957688	0.967666						
cotton	0.882199	0.937386	0.937413						
background	0.989233	0.996011	0.994587	0.989195	0.934647	0.962601	0.965647	2304	10
abuth	0.936847	0.957724	0.967394						
cotton	0.877860	0.934067	0.934958						
background	0.989029	0.996286	0.994484	0.989113	0.934517	0.961633	0.965577	2336	10
abuth	0.936850	0.955290	0.967395						
cotton	0.877671	0.933324	0.934851						
background	0.988989	0.996382	0.994464	0.989039	0.934551	0.962367	0.965613	2368	10
abuth	0.935443	0.952373	0.966645						
cotton	0.879221	0.938347	0.935729						
background	0.989210	0.996163	0.994576	0.989281	0.935682	0.963155	0.966226	2400	10
abuth	0.937522	0.956497	0.967754						
cotton	0.880313	0.936805	0.936347						
background	0.989052	0.996331	0.994496	0.989140	0.934829	0.961865	0.965754	2432	10
abuth	0.936808	0.954858	0.967373						
cotton	0.878628	0.934405	0.935393						
background	0.989186	0.995838	0.994563	0.989326	0.937173	0.965702	0.967074	2464	10
abuth	0.936874	0.956762	0.967408						
cotton	0.885460	0.944507	0.939251						
background	0.989054	0.996108	0.994497	0.989141	0.934701	0.962104	0.965678	2496	10
abuth	0.937097	0.956775	0.967527						
cotton	0.877952	0.933428	0.935010						
background	0.989370	0.995430	0.994657	0.989515	0.937616	0.965810	0.967297	2528	11
abuth	0.939098	0.963088	0.968593						
cotton	0.884379	0.938914	0.938643						
background	0.989403	0.995981	0.994673	0.989550	0.938072	0.965683	0.967557	2560	11
abuth	0.938735	0.958149	0.968400						
cotton	0.886079	0.942919	0.939599						
background	0.989436	0.995758	0.994690	0.989542	0.937725	0.965705	0.967360	2592	11
abuth	0.938843	0.960268	0.968457						
cotton	0.884898	0.941090	0.938934						
background	0.989218	0.995613	0.994580	0.989348	0.936253	0.963752	0.966539	2624	11
abuth	0.938395	0.962047	0.968219						
cotton	0.881146	0.933595	0.936819						
background	0.989083	0.996106	0.994512	0.989172	0.935513	0.963014	0.966145	2656	11
abuth	0.936364	0.955906	0.967137						
cotton	0.881092	0.937029	0.936788						
background	0.989164	0.995787	0.994553	0.989250	0.935780	0.963399	0.966285	2688	11
abuth	0.937211	0.959559	0.967588						
cotton	0.880964	0.934852	0.936715						
background	0.989174	0.995712	0.994557	0.989270	0.936278	0.964415	0.966569	2720	11
abuth	0.936955	0.959146	0.967451						
cotton	0.882705	0.938387	0.937698						
background	0.989233	0.995359	0.994587	0.989379	0.937426	0.966126	0.967209	2752	12
abuth	0.937499	0.961663	0.967742						
cotton	0.885546	0.941356	0.939299						
background	0.989387	0.995643	0.994665	0.989467	0.936969	0.964962	0.966937	2784	12
abuth	0.938662	0.961540	0.968360						
cotton	0.882858	0.937703	0.937785						
background	0.989284	0.995813	0.994613	0.989348	0.936342	0.964255	0.966597	2816	12
abuth	0.937611	0.959312	0.967801						
cotton	0.882132	0.937641	0.937375						
background	0.989338	0.995724	0.994640	0.989415	0.937062	0.965229	0.967001	2848	12
abuth	0.937700	0.959683	0.967848						
cotton	0.884149	0.940281	0.938513						
background	0.989306	0.995960	0.994624	0.989280	0.935376	0.962850	0.966055	2880	12
abuth	0.937078	0.958959	0.967517						
cotton	0.879743	0.933630	0.936025						
background	0.989200	0.995902	0.994571	0.989280	0.935845	0.963237	0.966320	2912	12
abuth	0.937415	0.959000	0.967697						
cotton	0.880921	0.934810	0.936691						
background	0.989220	0.996117	0.994581	0.989417	0.937276	0.964074	0.967117	2944	12
abuth	0.938312	0.957371	0.968174						
cotton	0.884297	0.938734	0.938596						
background	0.989262	0.995971	0.994602	0.989391	0.936772	0.963899	0.966834	2976	12
abuth	0.938105	0.958765	0.968064						
cotton	0.882950	0.936962	0.937837						
background	0.989130	0.996184	0.994535	0.989255	0.936065	0.962820	0.966449	3008	13
abuth	0.937000	0.956428	0.967476						
cotton	0.882065	0.935849	0.937338						
background	0.989074	0.996159	0.994507	0.989018	0.933257	0.960173	0.964871	3040	13
abuth	0.935959	0.957436	0.966920						
cotton	0.874738	0.926925	0.933184						
background	0.989114	0.996077	0.994527	0.989095	0.933897	0.960741	0.965227	3072	13
abuth	0.936517	0.958430	0.967218						
cotton	0.876061	0.927715	0.933937						
background	0.989388	0.995806	0.994666	0.989443	0.936651	0.964114	0.966760	3104	13
abuth	0.938403	0.960769	0.968223						
cotton	0.882163	0.935766	0.937393						
background	0.989369	0.995749	0.994656	0.989275	0.934861	0.962744	0.965761	3136	13
abuth	0.937236	0.961181	0.967601						
cotton	0.877978	0.931302	0.935025						
background	0.989229	0.995982	0.994585	0.989205	0.934351	0.961037	0.965472	3168	13
abuth	0.937405	0.960342	0.967692						
cotton	0.876418	0.926788	0.934139						
background	0.989142	0.996327	0.994541	0.989220	0.935542	0.962217	0.966157	3200	13
abuth	0.936750	0.955388	0.967342						
cotton	0.880735	0.934934	0.936586						
background	0.989064	0.996295	0.994502	0.989184	0.934911	0.961041	0.965792	3232	13
abuth	0.937522	0.956928	0.967754						
cotton	0.878147	0.929902	0.935120						
background	0.989098	0.996200	0.994519	0.989118	0.934570	0.961394	0.965613	3264	14
abuth	0.936184	0.956547	0.967040						
cotton	0.878428	0.931435	0.935280						
background	0.989198	0.995794	0.994570	0.989234	0.934694	0.961576	0.965661	3296	14
abuth	0.937996	0.961855	0.968006						
cotton	0.876890	0.927079	0.934407						
background	0.989331	0.995951	0.994637	0.989367	0.936145	0.963656	0.966482	3328	14
abuth	0.937831	0.959009	0.967918						
cotton	0.881273	0.936009	0.936890						
background	0.989109	0.996178	0.994525	0.989181	0.934748	0.961213	0.965701	3360	14
abuth	0.937322	0.957821	0.967647						
cotton	0.877812	0.929640	0.934931						
background	0.989296	0.996105	0.994619	0.989394	0.937044	0.964947	0.966993	3392	14
abuth	0.937480	0.955972	0.967731						
cotton	0.884356	0.942765	0.938629						
background	0.989372	0.995809	0.994657	0.989389	0.936280	0.963921	0.966557	3424	14
abuth	0.937809	0.960335	0.967907						
cotton	0.881658	0.935619	0.937108						
background	0.989060	0.996164	0.994500	0.989090	0.934074	0.960621	0.965328	3456	14
abuth	0.936586	0.957653	0.967255						
cotton	0.876577	0.928046	0.934230						
background	0.989422	0.996042	0.994683	0.989618	0.939184	0.966706	0.968183	3488	14
abuth	0.938513	0.956943	0.968281						
cotton	0.889617	0.947133	0.941585						
background	0.989489	0.995722	0.994717	0.989563	0.937388	0.964827	0.967165	3520	15
abuth	0.939278	0.962122	0.968689						
cotton	0.883397	0.936637	0.938089						
background	0.989284	0.995908	0.994613	0.989214	0.934049	0.960919	0.965297	3552	15
abuth	0.937593	0.961376	0.967791						
cotton	0.875269	0.925475	0.933487						
background	0.989406	0.995592	0.994675	0.989398	0.936004	0.963699	0.966397	3584	15
abuth	0.938190	0.962958	0.968109						
cotton	0.880417	0.932548	0.936406						
background	0.989468	0.995756	0.994706	0.989446	0.936443	0.964341	0.966644	3616	15
abuth	0.938076	0.960998	0.968049						
cotton	0.881784	0.936268	0.937179						
background	0.989596	0.995500	0.994771	0.989605	0.937707	0.966221	0.967345	3648	15
abuth	0.938979	0.962927	0.968529						
cotton	0.884546	0.940237	0.938736						
background	0.989547	0.995572	0.994746	0.989622	0.938430	0.967142	0.967755	3680	15
abuth	0.938804	0.961127	0.968436						
cotton	0.886940	0.944726	0.940083						
background	0.989473	0.995798	0.994708	0.989462	0.936603	0.964609	0.966734	3712	15
abuth	0.938189	0.960399	0.968109						
cotton	0.882148	0.937630	0.937384						
background	0.989415	0.995655	0.994679	0.989508	0.937671	0.965833	0.967335	3744	15
abuth	0.938357	0.960703	0.968198						
cotton	0.885242	0.941140	0.939129						
background	0.989449	0.995627	0.994697	0.989527	0.937351	0.965246	0.967148	3776	16
abuth	0.938917	0.962041	0.968496						
cotton	0.883686	0.938069	0.938252						
background	0.989358	0.995929	0.994651	0.989242	0.934718	0.962369	0.965686	3808	16
abuth	0.936662	0.959480	0.967295						
cotton	0.878134	0.931699	0.935113						
background	0.989515	0.995560	0.994730	0.989555	0.937495	0.965678	0.967229	3840	16
abuth	0.938809	0.962462	0.968439						
cotton	0.884161	0.939011	0.938519						
background	0.989355	0.996005	0.994649	0.989394	0.936062	0.963275	0.966429	3872	16
abuth	0.938315	0.959336	0.968176						
cotton	0.880516	0.934483	0.936462						
background	0.989160	0.996113	0.994550	0.989190	0.934412	0.960797	0.965506	3904	16
abuth	0.937560	0.959176	0.967774						
cotton	0.876515	0.927103	0.934195						
background	0.989146	0.996244	0.994543	0.989283	0.936076	0.962563	0.966450	3936	16
abuth	0.937471	0.956543	0.967726						
cotton	0.881612	0.934901	0.937082						
background	0.989332	0.995965	0.994638	0.989489	0.937436	0.964109	0.967200	3968	16
abuth	0.938746	0.959744	0.968405						
cotton	0.884230	0.936617	0.938558						
background	0.989241	0.996090	0.994592	0.989462	0.937978	0.964913	0.967513	4000	16
abuth	0.938174	0.957026	0.968101						
cotton	0.886520	0.941623	0.939847						
background	0.989147	0.995967	0.994544	0.989276	0.935636	0.962260	0.966195	4032	17
abuth	0.938028	0.959662	0.968023						
cotton	0.879732	0.931151	0.936019						
background	0.989274	0.995897	0.994608	0.989333	0.935935	0.963111	0.966364	4064	17
abuth	0.937843	0.959900	0.967925						
cotton	0.880688	0.933535	0.936560						
background	0.989289	0.995839	0.994616	0.989423	0.936670	0.963710	0.966769	4096	17
abuth	0.938806	0.960767	0.968437						
cotton	0.881916	0.934523	0.937253						
background	0.989270	0.996020	0.994606	0.989396	0.936875	0.963772	0.966894	4128	17
abuth	0.937954	0.958517	0.967984						
cotton	0.883402	0.936779	0.938092						
background	0.989422	0.995885	0.994683	0.989541	0.938235	0.966174	0.967654	4160	17
abuth	0.938150	0.958319	0.968088						
cotton	0.887134	0.944319	0.940192						
background	0.989416	0.995803	0.994680	0.989526	0.938090	0.966073	0.967573	4192	17
abuth	0.938090	0.959103	0.968056						
cotton	0.886762	0.943314	0.939983						
background	0.989474	0.995808	0.994709	0.989596	0.938361	0.966185	0.967717	4224	17
abuth	0.938805	0.959766	0.968437						
cotton	0.886804	0.942980	0.940007						
background	0.989371	0.995698	0.994657	0.989279	0.934794	0.962200	0.965721	4256	18
abuth	0.937347	0.962506	0.967661						
cotton	0.877662	0.928398	0.934845						
background	0.989203	0.996154	0.994572	0.989372	0.937067	0.963850	0.967006	4288	18
abuth	0.937656	0.956742	0.967825						
cotton	0.884341	0.938653	0.938621						
background	0.989280	0.995966	0.994611	0.989425	0.937147	0.964461	0.967044	4320	18
abuth	0.938218	0.958449	0.968124						
cotton	0.883942	0.938968	0.938396						
background	0.989436	0.995644	0.994690	0.989363	0.935778	0.963775	0.966277	4352	18
abuth	0.937411	0.961894	0.967694						
cotton	0.880487	0.933786	0.936446						
background	0.989278	0.996089	0.994610	0.989474	0.937377	0.963592	0.967167	4384	18
abuth	0.938916	0.959044	0.968496						
cotton	0.883938	0.935643	0.938394						
background	0.989297	0.995893	0.994620	0.989372	0.936238	0.963306	0.966532	4416	18
abuth	0.938103	0.960150	0.968063						
cotton	0.881315	0.933876	0.936914						
background	0.989404	0.995791	0.994674	0.989476	0.937453	0.965546	0.967217	4448	18
abuth	0.937940	0.959327	0.967976						
cotton	0.885015	0.941520	0.939000						
background	0.989337	0.995836	0.994640	0.989289	0.935631	0.963794	0.966203	4480	18
abuth	0.936730	0.958989	0.967331						
cotton	0.880826	0.936556	0.936638						
background	0.989253	0.995697	0.994598	0.989144	0.933773	0.961400	0.965151	4512	19
abuth	0.936750	0.961943	0.967342						
cotton	0.875316	0.926559	0.933513						
background	0.989386	0.995909	0.994664	0.989393	0.936347	0.963957	0.966596	4544	19
abuth	0.937661	0.959341	0.967828						
cotton	0.881993	0.936622	0.937297						
background	0.989255	0.995847	0.994598	0.989119	0.933165	0.960338	0.964803	4576	19
abuth	0.936922	0.961609	0.967434						
cotton	0.873318	0.923558	0.932376						
background	0.989433	0.995439	0.994688	0.989210	0.933839	0.962404	0.965185	4608	19
abuth	0.936729	0.963975	0.967331						
cotton	0.875356	0.927797	0.933536						
background	0.989227	0.996192	0.994584	0.989242	0.934990	0.961542	0.965836	4640	19
abuth	0.937302	0.957975	0.967637						
cotton	0.878440	0.930459	0.935287						
background	0.989174	0.996141	0.994557	0.989114	0.934123	0.961176	0.965359	4672	19
abuth	0.936077	0.957416	0.966983						
cotton	0.877117	0.929972	0.934537						
background	0.989515	0.995615	0.994730	0.989447	0.936631	0.965346	0.966756	4704	19
abuth	0.937512	0.961024	0.967748						
cotton	0.882866	0.939401	0.937790						
background	0.989426	0.995302	0.994685	0.989381	0.935994	0.964432	0.966395	4736	19
abuth	0.937759	0.964635	0.967880						
cotton	0.880796	0.933358	0.936621						
background	0.989313	0.995732	0.994628	0.989271	0.934683	0.961723	0.965654	4768	20
abuth	0.937828	0.962739	0.967916						
cotton	0.876908	0.926697	0.934417						
background	0.989495	0.995538	0.994720	0.989548	0.937172	0.965014	0.967043	4800	20
abuth	0.939261	0.963519	0.968680						
cotton	0.882761	0.935986	0.937730						
background	0.989472	0.995704	0.994708	0.989518	0.937017	0.964423	0.966960	4832	20
abuth	0.938891	0.962304	0.968483						
cotton	0.882686	0.935262	0.937688						
background	0.989169	0.996046	0.994555	0.989256	0.935795	0.962553	0.966295	4864	20
abuth	0.937095	0.958215	0.967526						
cotton	0.881120	0.933399	0.936804						
background	0.989351	0.995506	0.994647	0.989370	0.936344	0.964630	0.966596	4896	20
abuth	0.937635	0.962168	0.967814						
cotton	0.882045	0.936217	0.937326						
background	0.989264	0.995785	0.994603	0.989286	0.935355	0.962849	0.966038	4928	20
abuth	0.937729	0.960806	0.967864						
cotton	0.879073	0.931957	0.935646						
background	0.989231	0.995958	0.994586	0.989380	0.936905	0.964139	0.966911	4960	20
abuth	0.937941	0.958418	0.967977						
cotton	0.883542	0.938043	0.938171						
background	0.989417	0.996036	0.994680	0.989581	0.938374	0.965846	0.967725	4992	20
abuth	0.938861	0.957746	0.968466						
cotton	0.886844	0.943757	0.940029						
background	0.989293	0.996018	0.994618	0.989371	0.936597	0.963966	0.966740	5024	21
abuth	0.937582	0.957950	0.967785						
cotton	0.882915	0.937931	0.937817						
background	0.989231	0.995869	0.994586	0.989314	0.935849	0.962914	0.966315	5056	21
abuth	0.937913	0.960211	0.967962						
cotton	0.880402	0.932662	0.936398						
background	0.988983	0.995734	0.994461	0.989017	0.933115	0.959787	0.964778	5088	21
abuth	0.937123	0.962255	0.967541						
cotton	0.873240	0.921373	0.932331						
background	0.989095	0.996078	0.994517	0.989165	0.934511	0.960822	0.965566	5120	21
abuth	0.937417	0.959168	0.967698						
cotton	0.877022	0.927219	0.934483						
background	0.988960	0.996151	0.994449	0.989147	0.935314	0.961473	0.966028	5152	21
abuth	0.937066	0.957293	0.967511						
cotton	0.879916	0.930973	0.936123						
background	0.989299	0.995807	0.994621	0.989422	0.936832	0.964120	0.966863	5184	21
abuth	0.938474	0.960496	0.968260						
cotton	0.882723	0.936057	0.937709						
background	0.989306	0.995649	0.994624	0.989400	0.936580	0.964033	0.966723	5216	21
abuth	0.938294	0.961929	0.968165						
cotton	0.882141	0.934522	0.937380						
background	0.989432	0.995665	0.994688	0.989593	0.938540	0.966495	0.967818	5248	21
abuth	0.938922	0.960727	0.968499						
