class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
background	0.990300	0.997118	0.995127	0.983610	0.767494	0.827200	0.854034	8066	19
cotton	0.924678	0.961987	0.960865						
abuth	0.790365	0.929397	0.882909						
canger	0.680735	0.838353	0.810044						
machixian	0.843712	0.905216	0.915232						
longkui	0.804390	0.814046	0.891592						
tianxuanhua	0.343609	0.349649	0.511472						
niujincao	0.762166	0.821830	0.865033						
background	0.990733	0.996625	0.995345	0.985291	0.793788	0.858277	0.875031	8284	19
cotton	0.938342	0.963771	0.968190						
abuth	0.795591	0.943541	0.886161						
canger	0.692989	0.815141	0.818658						
machixian	0.840656	0.925840	0.913431						
longkui	0.893886	0.907034	0.943970						
tianxuanhua	0.443091	0.456224	0.614086						
niujincao	0.755016	0.858039	0.860409						
background	0.990721	0.996673	0.995339	0.983560	0.773667	0.838952	0.863144	8502	20
cotton	0.913915	0.966757	0.955021						
abuth	0.783874	0.931670	0.878845						
canger	0.678919	0.782866	0.808757						
machixian	0.843011	0.934510	0.914819						
longkui	0.773489	0.783989	0.872279						
tianxuanhua	0.445886	0.460471	0.616765						
niujincao	0.759525	0.854680	0.863329						
