class	IoU	Acc	F1	aAcc	mIoU	mAcc	mF1	Iter	epoch
machixian	0.733439	0.890588	0.846224						
longkui	0.846822	0.868261	0.917059						
tianxuanhua	0.455429	0.540491	0.625835						
niujincao	0.447071	0.453324	0.617898						
background	0.989875	0.995080	0.994912	0.985502	0.790846	0.851045	0.872117	4800	21
cotton	0.950050	0.989535	0.974385						
abuth	0.798572	0.960766	0.888007						
canger	0.722793	0.799597	0.839095						
machixian	0.818199	0.886060	0.900010						
longkui	0.915250	0.951747	0.955750						
tianxuanhua	0.424697	0.443835	0.596193						
niujincao	0.707335	0.781738	0.828584						
background	0.990633	0.996346	0.995294	0.983388	0.752212	0.826290	0.844243	5000	22
cotton	0.913540	0.980897	0.954817						
abuth	0.757798	0.815359	0.862213						
canger	0.735493	0.898511	0.847590						
machixian	0.800082	0.888902	0.888939						
longkui	0.865159	0.889830	0.927705						
tianxuanhua	0.366620	0.375306	0.536536						
niujincao	0.588369	0.765168	0.740847						
background	0.988223	0.993446	0.994077	0.981319	0.713987	0.816730	0.812703	5200	22
cotton	0.957408	0.983309	0.978241						
abuth	0.774871	0.928799	0.873157						
canger	0.626315	0.734848	0.770226						
machixian	0.775510	0.902054	0.873563						
longkui	0.734102	0.979505	0.846666						
tianxuanhua	0.274465	0.277177	0.430714						
niujincao	0.581001	0.734704	0.734979						
background	0.990828	0.996615	0.995393	0.984676	0.764081	0.825820	0.843847	5400	23
cotton	0.922737	0.978217	0.959816						
abuth	0.823350	0.914541	0.903118						
canger	0.750175	0.881683	0.857257						
machixian	0.812373	0.895789	0.896474						
longkui	0.879922	0.916410	0.936126						
tianxuanhua	0.234508	0.237478	0.379922						
niujincao	0.698753	0.785823	0.822666						
background	0.990458	0.996962	0.995206	0.982320	0.724338	0.797815	0.821054	5600	24
cotton	0.938779	0.969744	0.968423						
abuth	0.835126	0.902927	0.910157						
canger	0.649502	0.956860	0.787513						
machixian	0.808055	0.914593	0.893839						
longkui	0.606008	0.614702	0.754676						
tianxuanhua	0.293661	0.297995	0.454000						
niujincao	0.673110	0.728733	0.804621						
background	0.990801	0.996625	0.995379	0.986304	0.785018	0.839783	0.864433	5800	25
cotton	0.952011	0.981266	0.975415						
abuth	0.832818	0.887810	0.908784						
canger	0.753044	0.955128	0.859128						
machixian	0.823215	0.900742	0.903037						
longkui	0.909198	0.947902	0.952439						
tianxuanhua	0.352781	0.363294	0.521564						
niujincao	0.666274	0.685496	0.799717						
